id;transfer_date;qty_transfered;qty_received;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2023-02-24T09:14:19;16140;55327;synthesize;Games;Chief Pass Applications;bluetooth enhance;true;false
2;2023-02-24T22:44:59;474;25126;instruction Handcrafted wireless;Intelligent;Bedfordshire Creek Lari;Guinea Steel;true;true
3;2023-02-24T23:23:55;53460;85207;lime Towels;Soft;Fresh;Granite;true;true
4;2023-02-25T05:34:27;16676;29321;Berkshire Music interface;Fords bandwidth;navigate Practical Ergonomic;Principal;true;true
5;2023-02-25T00:31:10;44527;52823;Re-contextualized Investment;Tala;convergence transmitting composite;Fish;true;false
6;2023-02-24T21:52:33;28396;32672;Account mission-critical;Technician 5th People's;Dollar Principal Tools;Diverse Senior;true;false
7;2023-02-25T02:45:01;99651;72554;orchid;Factors;PNG Intelligent;background Philippines;true;false
8;2023-02-25T06:22:02;91306;459;optimal;orange green Rest;system;Cambridgeshire;true;false
9;2023-02-25T05:34:24;17923;84032;bypassing Cotton Bedfordshire;Manager solution-oriented;Architect Avon Bacon;azure incentivize matrix;false;true
10;2023-02-24T14:17:52;87986;13687;Account e-commerce;compressing Regional;Executive area;Buckinghamshire Synchronised Rustic;true;true
