id;inward_outward_date;inward_qty;outward_qty;total_quanity;price_per_unit;lot_no;expiry_date;inventory_type_id;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2023-02-25T05:44:39;1080p niches conglomeration;white Maine District;Mountains;67008;quantify;2023-02-24T23:11:07;quantifying Creative transform;Somalia Netherlands homogeneous;teal Shoes calculate;Handcrafted Pound;fuchsia payment THX;true;false
2;2023-02-25T05:40:21;Alaska redundant;Analyst;value-added hack;48607;Malta 1080p;2023-02-25T00:59:35;Books Buckinghamshire;dedicated redundant Borders;Turkish;Sweden Nebraska;Pizza frictionless Bedfordshire;true;false
3;2023-02-24T21:03:20;Sleek encompassing;solid;Handmade Drive Operations;26791;systems Wyoming;2023-02-24T14:28:21;Arab withdrawal;Supervisor mobile Manager;UIC-Franc;Rhode Industrial Regional;customized Versatile;true;false
4;2023-02-24T10:28:47;Mouse Investor invoice;Berkshire Missouri Chief;Pants EXE Leone;6726;Response parse overriding;2023-02-25T01:50:35;Small;Fish cohesive;Analyst;virtual Avon web-enabled;Berkshire indexing;false;true
5;2023-02-24T16:22:34;Extended;Krona empower Tuna;Tasty Inlet;64142;Internal Granite Chile;2023-02-25T07:24:49;Chips Strategist transition;withdrawal;engage programming recontextualize;Kroon;transform Unbranded Practical;true;false
6;2023-02-24T22:10:29;Producer deposit;Oklahoma mission-critical Cedi;Bedfordshire;4592;Generic;2023-02-24T09:04:46;Lead;Peso Oklahoma;regional;Ergonomic India Human;well-modulated Wooden Manat;false;true
7;2023-02-24T10:27:28;Rubber;compress orange;Concrete program Consultant;16287;Lane;2023-02-25T00:50:18;HDD North;Iranian Regional;dynamic;Vermont International;web-readiness Salad Berkshire;false;true
8;2023-02-24T18:53:06;bypass Industrial;Account Bedfordshire Berkshire;Account Frozen;78005;user-facing Gorgeous;2023-02-24T20:45:42;24/365 administration;system;Shore Administrator Concrete;Seamless;scalable Chicken;true;true
9;2023-02-24T14:21:21;User-centric digital;Buckinghamshire Sleek;composite Oregon;14728;client-driven;2023-02-24T11:28:48;blue Licensed index;Arkansas Up-sized firewall;Avon methodologies Assurance;Lakes;Wooden;true;true
10;2023-02-24T09:46:12;service-desk Fantastic;multi-tasking Knoll;generate;12480;redefine Squares;2023-02-24T20:11:36;Infrastructure Inverse;Usability indexing drive;Port Cheese Sleek;Diverse;Digitized pink;false;true
