id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2023-02-25T02:12:32;13957;back Supervisor;(Malvinas) Concrete internet;indexing;data-warehouse Associate bus;Senior Benin;true;false
2;2023-02-24T19:21:33;45937;redundant Sausages bluetooth;Intelligent;Producer;bottom-line SSL;Lock;true;true
3;2023-02-25T01:33:31;86199;Functionality orchid;Kids connecting;modular Steel;Market Rustic Vermont;Global;true;false
4;2023-02-24T13:03:44;75771;Tasty Frozen;invoice Reverse-engineered;wireless haptic Pizza;system Cordoba;Functionality;true;false
5;2023-02-24T18:02:07;98800;Buckinghamshire;Handcrafted Refined;Facilitator;Gardens Trail;Investment open;true;false
6;2023-02-25T03:56:55;78400;Yemen;copying Account;Uganda;Monetary e-business instruction;Gourde;true;false
7;2023-02-25T01:53:47;35890;Berkshire visualize;ivory;background;Gibraltar Vietnam;Integration violet;false;true
8;2023-02-25T00:58:21;96559;cyan engage programming;Customer SMS;orange;Tanzania Fresh Dollar;copying;true;false
9;2023-02-24T13:26:28;49985;Strategist ubiquitous;migration Iowa Avon;Iowa online;transitional;deliverables SAS;false;true
10;2023-02-24T17:41:26;59838;invoice Towels;RAM Associate matrix;capacitor;tangible;auxiliary Unbranded up;true;false
