id;name;start_date;end_date;department_name;budget;free_field_1;free_field_2;free_field_3;last_modified;last_modified_by
1;contextually-based Alaska Fresh;2023-02-24T19:00:23;2023-02-25T06:23:21;Architect Micronesia Health;alarm functionalities extensible;Total USB e-services;European Junctions digital;Account;invoice optical;vortals revolutionary
2;Computer Supervisor;2023-02-24T14:04:12;2023-02-24T21:36:08;Diverse;Brand copying;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;magenta;Assurance systemic
3;International open-source;2023-02-24T10:04:23;2023-02-25T07:54:57;Gloves violet Account;pink;microchip index actuating;Computer invoice digital;Administrator Berkshire Vision-oriented;next-generation;Gloves
4;Villages world-class;2023-02-24T16:25:08;2023-02-24T12:21:03;Liberia Metrics;Computer digital matrix;Metal matrix back-end;Cross-group compelling;Cote;supply-chains;South
5;teal e-services;2023-02-24T16:10:20;2023-02-24T10:32:23;District local Springs;program salmon Bedfordshire;Ball PCI Arabia;strategy black;conglomeration;system Handmade;Refined Borders scalable
6;Swiss;2023-02-25T05:07:17;2023-02-24T08:28:54;eyeballs hardware;Digitized Home;Frozen GB invoice;CSS Computer;Investor invoice;B2C withdrawal Ball;York Designer
7;brand;2023-02-25T02:33:00;2023-02-25T00:28:18;Analyst Strategist;seize payment;systems;Savings;applications;Market;innovative coherent connecting
8;Associate;2023-02-24T19:05:23;2023-02-24T11:52:22;Buckinghamshire mint;Paradigm Franc;Iranian 4th human-resource;Ball Director;copying bus;vortals grow vortals;JBOD Frozen Tennessee
9;Licensed;2023-02-25T07:57:35;2023-02-25T02:42:51;Persistent;optical ADP;Mountains Customer;Toys program Cotton;Account cross-platform;Soft product;payment
10;Awesome Ports;2023-02-24T22:56:46;2023-02-24T13:02:37;Movies magenta;Generic deploy SQL;Concrete architectures generate;Tools;Myanmar;world-class system parsing;Optimization Account
