id;approval_date;qty_requested;qty_approved;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2023-02-25T01:52:06;86605;31385;parsing Account cross-media;Gambia systemic Cyprus;web-enabled red Customer;firewall;false;false
2;2023-02-25T03:36:22;82371;712;SCSI;HTTP context-sensitive;Architect South;Planner cross-platform info-mediaries;false;false
3;2023-02-25T04:38:08;35259;37435;distributed;Supervisor Granite;needs-based task-force Pataca;Hat bypassing Plastic;true;true
4;2023-02-25T04:06:42;33218;75425;synthesizing Account;Frozen;Consultant application card;multi-byte salmon payment;true;true
5;2023-02-24T10:22:49;73680;88920;Open-source firewall;Division;Bridge Sports Industrial;Peru architectures hacking;true;true
6;2023-02-25T05:23:38;79403;49959;middleware 5th Multi-layered;Electronics program Small;payment Pataca;dot-com Web hacking;false;true
7;2023-02-24T16:11:41;7403;42947;Texas;Strategist Salad;engage;Steel Triple-buffered;true;true
8;2023-02-24T15:00:15;16421;33283;solution;Configurable pink;Towels invoice;Refined back-end;false;false
9;2023-02-25T05:54:58;56771;39727;Generic Chicken payment;index Granite;mobile Technician;cyan;true;true
10;2023-02-25T00:54:59;4012;81350;Account;Central;orchid Shoes global;Managed;true;true
